ID;Название RU;Название UZ;Бренд;Фото
p01;Relief Sun: Rice + Probiotics SPF50+ PA++++;Relief Sun: Rice + Probiotics SPF50+ PA++++;Beauty of Joseon;есть
p02;1025 Dokdo Cleanser;1025 Dokdo Cleanser;Round Lab;есть
p03;1025 Dokdo Lotion;1025 Dokdo Lotion;Round Lab;есть
p04;Birch Juice Moisturizing Cleanser;Birch Juice Moisturizing Cleanser;Round Lab;есть
p05;Dark Spot Correcting Glow Serum;Dark Spot Correcting Glow Serum;AXIS-Y;есть
p06;Dark Spot Correcting Glow Toner;Dark Spot Correcting Glow Toner;AXIS-Y;есть
p07;Complete No-Stress Physical Sunscreen SPF50+ PA++++;Complete No-Stress Physical Sunscreen SPF50+ PA++++;AXIS-Y;есть
p08;TXA 2.5% Intensive Brightening Cream;TXA 2.5% Intensive Brightening Cream;AXIS-Y;есть
p09;Dark Spot Correcting Glow Cream;Dark Spot Correcting Glow Cream;AXIS-Y;есть
p10;Sunday Morning Refreshing Cleansing Foam;Sunday Morning Refreshing Cleansing Foam;AXIS-Y;есть
p11;Birch Juice Moisturizing Mild-Up Sunscreen SPF50+ PA++++;Birch Juice Moisturizing Mild-Up Sunscreen SPF50+ PA++++;Round Lab;есть
p12;1025 Dokdo Ampoule;1025 Dokdo Ampoule;Round Lab;есть
p13;Birch Juice Moisturizing Cream;Birch Juice Moisturizing Cream;Round Lab;есть
p14;1025 Dokdo Cleansing Oil;1025 Dokdo Cleansing Oil;Round Lab;есть
p15;Birch Juice Moisturizing Sun Spray SPF50+ PA++++;Birch Juice Moisturizing Sun Spray SPF50+ PA++++;Round Lab;есть
p16;Cellup pH Cure Foam Cleanser;Cellup pH Cure Foam Cleanser;LAGOM;есть
p17;345 Relief Cream;345 Relief Cream;Dr. Althea;есть
p18;345 Relief Cream Mist;345 Relief Cream Mist;Dr. Althea;есть
p19;Vitamin C Boosting Serum;Vitamin C Boosting Serum;Dr. Althea;есть
p20;Cellup Trial Kit — набор миниатюр;Cellup Trial Kit — mini to‘plam;LAGOM;есть
p21;Cellup Micro Pore Cleansing Oil;Cellup Micro Pore Cleansing Oil;LAGOM;есть
p22;Mask Fit Red Cushion SPF40 PA++ — оттенок 23N Sand;Mask Fit Red Cushion SPF40 PA++ — 23N Sand rangi;TIRTIR;есть
p23;Niacinamide 10% + TXA 4% Serum;Niacinamide 10% + TXA 4% Serum;Anua;есть
p24;Azelaic Acid 10% + Hyaluron Redness Soothing Serum;Azelaic Acid 10% + Hyaluron Redness Soothing Serum;Anua;есть
p25;147 Barrier Cream;147 Barrier Cream;Dr. Althea;есть
p26;Pure Grinding Cleansing Balm;Pure Grinding Cleansing Balm;Dr. Althea;есть
